Landuse;Sealing
Abwasser;0
Ackerland;1
Bahnverkehr;1
Baumschule;0
Bergbau;1
BesondereFunktionalePraegung;1
Boeschung;0
Brauchwasser;0
Duene;0
Erdoel;1
Fels;1
Fliessgewaesser;0
Flugverkehr;1
Friedhof;0
Gartenland;0
Gas;1
Gebuesch;0
Gehoelz;0
GemischteNutzung;1
Gewaesserbauwerk;1
Gewaesserbegleitflaeche;0
Gras;0
Gruenland;0
Hafen;1
Hafenbecken;0
Halde;0
Hecke;0
Heide;0
HistorischesBauwerk;1
Hopfenacker;0
IndustrieGewerbe;1
Laubholz;0
Meer;0
Mischholz;0
Moor;0
Nadelholz;0
NasseVegetation;0
NaturnaheFlaeche;0
Obstplantage;0
Platz;1
Polder;0
Priel;0
Quelle;0
RoehrichtSchilf;0
Sandbank;0
Schiffsverkehr;0
Schleuse;1
Schneise;0
SonstigesBauwerk;1
SportFreizeitUndErholung;0
StehendesGewaesser;0
Strassenverkehr;1
Streuobst;0
Streuobstacker;0
Streuobstwiese;0
Stromschnelle;0
Sukessionsflaeche;0
Sumpf;0
TagebauGrubeSteinbruch;0.5
Testgelaende;0
Tiergehege;0
Trinkwasser;0
Unbestimmbar;0
UnlandVegetationslos;0
Vegetationslos;0
VerkehrsBauwerk;1
Wasser;0
Wasserfall;0
Watt;0
Weingarten;0
WohnbauflaecheGeschlossen;1
WohnbauflaecheOffen;0
allotments;0
basin;0
brownfield;0.5
cemetery;0
commercial;1
conservation;0
construction;1
depot;1
farmland;0
farmyard;0.5
forest;0
garages;1
grass;0
greenfield;0
greenhouse_horticulture;1
industrial;1
landfill;1
meadow;0
military;0.5
orchard;0
pasture;0
peat_cutting;0
plant_nursery;0
port;1
quarry;0.5
railway;1
recreation_ground;0
reservoir;0
residential;1
retail;1
salt_pond;0
village_green;0
vineyard;0
