file_in;requiredField;synonym
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point.shp;BWF;bauwerksfunktion
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp;BWF;bauwerksfunktion
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point.shp;BWF;bauwerksfu
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp;BWF;bauwerksfu
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp;gml_id;OBJID
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point.shp;gml_id;OBJID
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon.shp;BWF;bauwerksfunktion
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon.shp;BWF;bauwerksfu
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon.shp;gml_id;OBJID
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;BWF;bauwerksfunktion
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;BWF;bauwerksfu
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;gml_id;OBJID
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi.shp;BWF;bauwerksfunktion
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi.shp;BWF;bauwerksfu
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi.shp;gml_id;OBJID
AX_EinrichtungInOeffentlichenBereichen.shp;gml_id;OBJID
AX_FlaecheBesondererFunktionalerPraegung.shp;gml_id;OBJID
AX_FlaecheBesondererFunktionalerPraegung.shp;FKT;funktion
AX_FlaecheBesondererFunktionalerPraegung;gml_id;OBJID
AX_FlaecheBesondererFunktionalerPraegung;FKT;funktion
AX_FlaecheBesondererFunktionalerPraegung_polygon.shp;gml_id;OBJID
AX_FlaecheBesondererFunktionalerPraegung_polygon.shp;FKT;funktion
AX_Fliessgewaesser.shp;gml_id;OBJID
AX_Fliessgewaesser.shp;FKT;funktion
AX_Fliessgewaesser_polygon.shp;FKT;funktion
AX_Fliessgewaesser_polygon.shp;gml_id;OBJID
AX_Flugverkehr.shp;gml_id;OBJID
AX_Flugverkehrsanlage.shp;gml_id;OBJID
AX_Friedhof.shp;gml_id;OBJID
AX_Friedhof.shp;FKT;funktion
AX_Friedhof_polygon.shp;FKT;funktion
AX_Friedhof_polygon.shp;gml_id;OBJID
AX_Gebaeude.shp;GFK;gebaeudefunktion
AX_Gebaeude.shp;GFK;gebaeudefu
AX_Gebaeude.shp;WGF;weitereGebaeudefunktion
AX_Gebaeude.shp;WGF;weitereGeb
AX_Gebaeude.shp;BJA;baujahr
AX_Gebaeude.shp;gml_id;OBJID
AX_Gebaeude_polygon.shp;GFK;gebaeudefu
AX_Gebaeude_polygon.shp;WGF;weitereGeb
AX_Gebaeude_polygon.shp;GFK;gebaeudefunktion
AX_Gebaeude_polygon.shp;WGF;weitereGebaeudefunktion
AX_Gebaeude_polygon.shp;GFK;gebaeudefu
AX_Gebaeude_polygon.shp;WGF;weitereGeb
AX_Gebaeude_polygon.shp;BJA;baujahr
AX_Gebaeude_polygon.shp;gml_id;OBJID
AX_IndustrieUndGewerbeflaeche.shp;FKT;funktion
AX_IndustrieUndGewerbeflaeche.shp;gml_id;OBJID
AX_IndustrieUndGewerbeflaeche_polygon.shp;FKT;funktion
AX_IndustrieUndGewerbeflaeche_polygon.shp;gml_id;OBJID
AX_Leitung.shp;gml_id;OBJID
AX_NaturUmweltOderBodenschutzrecht.shp;gml_id;OBJID
AX_NaturUmweltOderBodenschutzrecht.shp;ADF;artDerFestlegung
AX_NaturUmweltOderBodenschutzrecht.shp;ADF;artDerFest
AX_Platz.shp;gml_id;OBJID
AX_Platz.shp;FKT;funktion
AX_Platz_polygon.shp;FKT;funktion
AX_Platz_polygon.shp;gml_id;OBJID
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht.shp;gml_id;OBJID
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht.shp;ADF;artDerFestlegung
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht.shp;ADF;artDerFest
AX_SchutzgebietNachWasserrecht.shp;gml_id;OBJID
AX_SchutzgebietNachWasserrecht.shp;ADF;artDerFestlegung
AX_SchutzgebietNachWasserrecht.shp;ADF;artDerFest
AX_Schutzzone.shp;gml_id;OBJID
AX_Schutzzone.shp;ADF;artDerFestlegung
AX_Schutzzone.shp;ADF;artDerFest
AX_SportFreizeitUndErholungsflaeche.shp;FKT;funktion
AX_SportFreizeitUndErholungsflaeche.shp;gml_id;OBJID
AX_SportFreizeitUndErholungsflaeche_polygon.shp;FKT;funktion
AX_SportFreizeitUndErholungsflaeche_polygon.shp;gml_id;OBJID
AX_StehendesGewaesser.shp;gml_id;OBJID
AX_StehendesGewaesser.shp;FKT;funktion
AX_Strasse.shp;gml_id;OBJID
AX_Weg.shp;gml_id;OBJID
AX_Weg.shp;FKT;funktion
AX_WegPfadSteig.shp;gml_id;OBJID
